2023-07-04 20:42:02.648 [restartedMain] INFO  com.Carry.hospital.ManageApplication - Starting ManageApplication using Java 1.8.0_372 on LuyuZhang with PID 1056 (E:\temporary\java\SYT\InfoPlatform_parent\hospital-manage\target\classes started by 21083 in E:\temporary\java\SYT\InfoPlatform_parent)
2023-07-04 20:42:02.649 [restartedMain] INFO  com.Carry.hospital.ManageApplication - The following 1 profile is active: "dev"
2023-07-04 20:42:02.708 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-07-04 20:42:02.709 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-07-04 20:42:03.481 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-07-04 20:42:03.483 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-07-04 20:42:03.501 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 5 ms. Found 0 Redis repository interfaces.
2023-07-04 20:42:03.969 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9998 (http)
2023-07-04 20:42:03.974 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9998"]
2023-07-04 20:42:03.976 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-07-04 20:42:03.976 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.76]
2023-07-04 20:42:04.038 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-07-04 20:42:04.039 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1330 ms
2023-07-04 20:42:04.270 [restartedMain] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-07-04 20:42:04.279 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
